source,destination,fare
Agra,Mumbai,"₹ 7,970"
Agra,Mumbai,"₹ 7,970"
Agra,Jaipur,NA
Agra,Varanasi,NA
Agra,Manali,NA
Agra,New Delhi,NA
Agra,Kolkata,"₹ 13,578"
Agra,Chennai,"₹ 13,190"
Agra,Shimla,NA
Agra,Bengaluru,"₹ 10,972"
Agra,Ooty,NA
Agra,Nainital,NA
Agra,Darjeeling,NA
Agra,Hyderabad,"₹ 11,183"
Agra,Rishikesh,NA
Agra,Pondicherry,NA
Agra,Gangtok,NA
Agra,Dehradun,NA
Agra,Leh,NA
Agra,Ahmedabad,"₹ 5,668"
Agra,Srinagar,NA
Agra,Puri,NA
Agra,Dalhousie,NA
Mumbai,Agra,"₹ 8,907"
Mumbai,Jaipur,"₹ 6,889"
Mumbai,Varanasi,"₹ 6,280"
Mumbai,Manali,--
Mumbai,New Delhi,"₹ 4,547"
Mumbai,Kolkata,"₹ 7,704"
Mumbai,Chennai,"₹ 4,336"
Mumbai,Shimla,NA
Mumbai,Bengaluru,"₹ 3,002"
Mumbai,Ooty,NA
Mumbai,Nainital,NA
Mumbai,Darjeeling,NA
Mumbai,Hyderabad,"₹ 4,473"
Mumbai,Rishikesh,"₹ 8,006"
Mumbai,Pondicherry,"₹ 14,918"
Mumbai,Gangtok,NA
Mumbai,Dehradun,"₹ 8,006"
Mumbai,Leh,"₹ 14,369"
Mumbai,Ahmedabad,"₹ 4,647"
Mumbai,Srinagar,"₹ 11,718"
Mumbai,Puri,NA
Mumbai,Dalhousie,NA
Jaipur,Agra,NA
Jaipur,Mumbai,"₹ 3,426"
Jaipur,Varanasi,"₹ 5,635"
Jaipur,Manali,NA
Jaipur,New Delhi,"₹ 1,125"
Jaipur,Kolkata,"₹ 7,313"
Jaipur,Chennai,"₹ 5,699"
Jaipur,Shimla,NA
Jaipur,Bengaluru,"₹ 5,507"
Jaipur,Ooty,NA
Jaipur,Nainital,NA
Jaipur,Darjeeling,NA
Jaipur,Hyderabad,"₹ 6,266"
Jaipur,Rishikesh,"₹ 5,714"
Jaipur,Pondicherry,NA
Jaipur,Gangtok,NA
Jaipur,Dehradun,"₹ 5,483"
Jaipur,Leh,"₹ 9,739"
Jaipur,Ahmedabad,"₹ 4,270"
Jaipur,Srinagar,"₹ 8,265"
Jaipur,Puri,NA
Jaipur,Dalhousie,NA
Varanasi,Agra,NA
Varanasi,Mumbai,"₹ 4,926"
Varanasi,Jaipur,"₹ 7,492"
Varanasi,Manali,NA
Varanasi,New Delhi,"₹ 3,326"
Varanasi,Kolkata,"₹ 7,587"
Varanasi,Chennai,"₹ 5,307"
Varanasi,Shimla,NA
Varanasi,Bengaluru,"₹ 8,032"
Varanasi,Ooty,NA
Varanasi,Nainital,NA
Varanasi,Darjeeling,NA
Varanasi,Hyderabad,"₹ 6,326"
Varanasi,Rishikesh,"₹ 12,467"
Varanasi,Pondicherry,NA
Varanasi,Gangtok,NA
Varanasi,Dehradun,"₹ 12,467"
Varanasi,Leh,"₹ 10,508"
Varanasi,Ahmedabad,"₹ 5,117"
Varanasi,Srinagar,"₹ 15,225"
Varanasi,Puri,NA
Varanasi,Dalhousie,NA
Manali,Agra,NA
Manali,Mumbai,"₹ 14,788"
Manali,Jaipur,NA
Manali,Varanasi,NA
Manali,New Delhi,"₹ 14,798"
Manali,Kolkata,NA
Manali,Chennai,NA
Manali,Shimla,"₹ 3,563"
Manali,Bengaluru,NA
Manali,Ooty,NA
Manali,Nainital,NA
Manali,Darjeeling,NA
Manali,Hyderabad,"₹ 19,698"
Manali,Rishikesh,NA
Manali,Pondicherry,NA
Manali,Gangtok,NA
Manali,Dehradun,NA
Manali,Leh,NA
Manali,Ahmedabad,NA
Manali,Srinagar,NA
Manali,Puri,NA
Manali,Dalhousie,NA
New Delhi,Agra,NA
New Delhi,Mumbai,"₹ 4,226"
New Delhi,Jaipur,"₹ 2,909"
New Delhi,Varanasi,"₹ 12,561"
New Delhi,Manali,"₹ 17,505"
New Delhi,Kolkata,"₹ 5,762"
New Delhi,Chennai,"₹ 6,018"
New Delhi,Shimla,"₹ 7,140"
New Delhi,Bengaluru,"₹ 4,823"
New Delhi,Ooty,NA
New Delhi,Nainital,NA
New Delhi,Darjeeling,NA
New Delhi,Hyderabad,"₹ 4,764"
New Delhi,Rishikesh,"₹ 3,908"
New Delhi,Pondicherry,"₹ 7,191"
New Delhi,Gangtok,NA
New Delhi,Dehradun,"₹ 3,908"
New Delhi,Leh,"₹ 1,800"
New Delhi,Ahmedabad,"₹ 3,351"
New Delhi,Srinagar,"₹ 8,685"
New Delhi,Puri,NA
New Delhi,Dalhousie,NA
Kolkata,Agra,"₹ 13,734"
Kolkata,Mumbai,"₹ 7,226"
Kolkata,Jaipur,"₹ 8,345"
Kolkata,Varanasi,"₹ 8,543"
Kolkata,Manali,NA
Kolkata,New Delhi,"₹ 6,557"
Kolkata,Chennai,"₹ 7,557"
Kolkata,Shimla,NA
Kolkata,Bengaluru,"₹ 6,237"
Kolkata,Ooty,NA
Kolkata,Nainital,NA
Kolkata,Darjeeling,NA
Kolkata,Hyderabad,"₹ 5,776"
Kolkata,Rishikesh,"₹ 9,386"
Kolkata,Pondicherry,"₹ 21,669"
Kolkata,Gangtok,NA
Kolkata,Dehradun,"₹ 9,386"
Kolkata,Leh,"₹ 18,590"
Kolkata,Ahmedabad,"₹ 5,226"
Kolkata,Srinagar,"₹ 9,477"
Kolkata,Puri,NA
Kolkata,Dalhousie,NA
Chennai,Agra,"₹ 15,813"
Chennai,Mumbai,"₹ 5,735"
Chennai,Jaipur,"₹ 8,169"
Chennai,Varanasi,"₹ 8,645"
Chennai,Manali,NA
Chennai,New Delhi,"₹ 6,024"
Chennai,Kolkata,"₹ 7,513"
Chennai,Shimla,NA
Chennai,Bengaluru,"₹ 1,930"
Chennai,Ooty,NA
Chennai,Nainital,NA
Chennai,Darjeeling,NA
Chennai,Hyderabad,"₹ 3,532"
Chennai,Rishikesh,"₹ 9,375"
Chennai,Pondicherry,NA
Chennai,Gangtok,NA
Chennai,Dehradun,"₹ 9,375"
Chennai,Leh,"₹ 9,928"
Chennai,Ahmedabad,"₹ 6,512"
Chennai,Srinagar,"₹ 11,494"
Chennai,Puri,NA
Chennai,Dalhousie,NA
Shimla,Agra,NA
Shimla,Mumbai,NA
Shimla,Jaipur,NA
Shimla,Varanasi,NA
Shimla,Manali,"₹ 3,563"
Shimla,New Delhi,"₹ 2,901"
Shimla,Kolkata,NA
Shimla,Chennai,NA
Shimla,Bengaluru,NA
Shimla,Ooty,NA
Shimla,Nainital,NA
Shimla,Darjeeling,NA
Shimla,Hyderabad,NA
Shimla,Rishikesh,NA
Shimla,Pondicherry,NA
Shimla,Gangtok,NA
Shimla,Dehradun,NA
Shimla,Leh,NA
Shimla,Ahmedabad,NA
