Hotels,Price,Reviews,Location

"1. ITC Mughal, a Luxury Collection Resort & Spa, Agra","₹28,910",4.5 of 5 bubbles,Agra
"2. Holiday Inn Agra Mg Road, an IHG Hotel","₹8,986",5 of 5 bubbles,Agra
"3. Howard Plaza The Fern, Agra","₹3,897",4 of 5 bubbles,Agra
"4. Taj Hotel & Convention Centre, Agra","₹12,390",4.5 of 5 bubbles,Agra
"5. Trident, Agra","₹11,210",4.5 of 5 bubbles,Agra
Hotel Clarks Shiraz,"₹5,913",4 of 5 bubbles,Agra
6. Hotel Taj Resorts,"₹5,319",4 of 5 bubbles,Agra
7. Hotel Clarks Shiraz,"₹4,457",4 of 5 bubbles,Agra
8. Ramada Plaza by Wyndham Agra,"₹8,114",4.5 of 5 bubbles,Agra
9. The Grand Imperial,"₹8,968",4 of 5 bubbles,Agra
"10. Tajview, Agra-IHCL SeleQtions","₹10,030",4 of 5 bubbles,Agra
"Taj Hotel & Convention Centre, Agra","₹12,390",4.5 of 5 bubbles,Agra
"11. Aman Homestay, A Boutique Hotel","₹3,136",5 of 5 bubbles,Agra
12. The PL Palace,"₹5,599",4.5 of 5 bubbles,Agra
13. Hotel Alleviate,"₹2,394",4 of 5 bubbles,Agra
14. Hotel Taj Inn,"₹2,711",4 of 5 bubbles,Agra
"15. Parador, A Boutique Hotel","₹2,693",4.5 of 5 bubbles,Agra
Hotel Alleviate,"₹2,394",4 of 5 bubbles,Agra
16. Hotel Taj Galaxy,"₹1,499",4 of 5 bubbles,Agra
17. Hotel Sidhartha,"₹1,386",3.5 of 5 bubbles,Agra
18. Dayal Lodge - A Boutique Hotel,"₹1,795",4.5 of 5 bubbles,Agra
19. Hotel Amar,"₹4,118",3.5 of 5 bubbles,Agra
20. Taj Villa,"₹3,830",4 of 5 bubbles,Agra
The Grand Imperial,"₹8,968",4 of 5 bubbles,Agra
21. The Retreat Hotel,"₹4,405",4 of 5 bubbles,Agra
22. Hotel Maple Grand,"₹3,360",4.5 of 5 bubbles,Agra
23. Su-Koon Homestay,₹709,4.5 of 5 bubbles,Agra
24. Aaram Baagh By Pachar Group Agra,"₹4,480",4.5 of 5 bubbles,Agra
25. Hotel Orange,"₹4,254",4 of 5 bubbles,Agra
"ITC Mughal, a Luxury Collection Resort & Spa, Agra","₹28,910",4.5 of 5 bubbles,Agra
