H_name,H_price,H_rating,location
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra
Holiday Inn Agra Mg Road an IHG Hotel,8986,5.0,Agra
Howard Plaza The Fern Agra,3897,4.0,Agra
Taj Hotel Convention Centre Agra,12390,4.5,Agra
Trident Agra,11210,4.5,Agra
Hotel Clarks Shiraz,5913,4.0,Agra
Hotel Taj Resorts,5319,4.0,Agra
Hotel Clarks Shiraz,4457,4.0,Agra
Ramada Plaza by Wyndham Agra,8114,4.5,Agra
The Grand Imperial,8968,4.0,Agra
Tajview AgraIHCL SeleQtions,10030,4.0,Agra
Taj Hotel Convention Centre Agra,12390,4.5,Agra
Aman Homestay A Boutique Hotel,3136,5.0,Agra
The PL Palace,5599,4.5,Agra
Hotel Alleviate,2394,4.0,Agra
Hotel Taj Inn,2711,4.0,Agra
Parador A Boutique Hotel,2693,4.5,Agra
Hotel Alleviate,2394,4.0,Agra
Hotel Taj Galaxy,1499,4.0,Agra
Hotel Sidhartha,1386,3.5,Agra
Dayal Lodge A Boutique Hotel,1795,4.5,Agra
Hotel Amar,4118,3.5,Agra
Taj Villa,3830,4.0,Agra
The Grand Imperial,8968,4.0,Agra
The Retreat Hotel,4405,4.0,Agra
Hotel Maple Grand,3360,4.5,Agra
SuKoon Homestay,709,4.5,Agra
Aaram Baagh By Pachar Group Agra,4480,4.5,Agra
Hotel Orange,4254,4.0,Agra
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra
Hotel Kamal,1312,3.0,Agra
Hotel Taj Plaza,825,3.0,Agra
OYO Hotel Riviera,931,3.0,Agra
Sun Hotel Agra,1815,3.0,Agra
The Oberoi Amarvilas,88500,5.0,Agra
Ramada Plaza by Wyndham Agra,8114,4.5,Agra
The Westin Mumbai Garden City,21240,4.5,Mumbai
Goldfinch Hotel Mumbai,7560,4.5,Mumbai
The Lalit Mumbai,12824,4.5,Mumbai
Sahara Star Hotel,15635,4.5,Mumbai
Ibis Mumbai Airport Hotel,11799,4.0,Mumbai
Taj Lands End Mumbai,21830,4.5,Mumbai
Taj Mahal Tower Mumbai,22396,4.5,Mumbai
Ramada Plaza by Wyndham Palm Grove,12144,4.0,Mumbai
The Leela Mumbai,15340,4.5,Mumbai
The Orchid Mumbai Vile Parle,18289,4.5,Mumbai
The Fern Goregaon,10837,5.0,Mumbai
Taj Mahal Tower Mumbai,20717,4.5,Mumbai
The Westin Mumbai Powai Lake,17700,4.5,Mumbai
Ginger Mumbai Andheri East,7279,4.5,Mumbai
Lemon Tree Premier Mumbai International Airport,11011,4.5,Mumbai
Niranta Airport Transit Hotel Lounge,15638,4.0,Mumbai
TRIDENT BANDRA KURLA,19175,4.5,Mumbai
Novotel Mumbai Juhu Beach,14160,4.0,Mumbai
Ramada Plaza by Wyndham Palm Grove,13207,4.0,Mumbai
Residency Sarovar Portico,10650,4.5,Mumbai
Hilton Mumbai International Airport,15323,4.5,Mumbai
Mirage Hotel,6302,4.0,Mumbai
Trident Hotel,21830,4.5,Mumbai
Ascot Hotel,589,4.0,Mumbai
Lakeside Chalet Mumbai Marriott Executive Apartments,15340,4.5,Mumbai
Ginger Mumbai Goregaon,4050,4.5,Mumbai
Meluha The Fern Mumbai,15299,4.5,Mumbai
The Shalimar Hotel,5840,4.5,Mumbai
Hotel BKC Crown Near Trade Centre Visa Consulate,4284,5.0,Mumbai
Hotel Accord,3529,4.0,Mumbai
InterContinental Marine DriveMumbai an IHG Hotel,21803,4.5,Mumbai
Krishna Palace Hotel,10831,4.0,Mumbai
Hotel Cliffton,3126,4.5,Mumbai
Hotel Apex International,1326,4.5,Mumbai
The Regale by Tunga,7019,4.0,Mumbai
Siesta Andheri Hotel,3249,4.0,Mumbai
Lemon Tree Premier Mumbai International Airport,12374,4.5,Mumbai
Palm,6191,5.0,Jaipur
Clarks Amer,6274,4.5,Jaipur
Holiday Inn Jaipur City Centre an IHG Hotel,15281,4.5,Jaipur
Hotel Sarang Palace,2128,4.5,Jaipur
Sarovar Premiere Jaipur,9026,5.0,Jaipur
The Fern Residency Jaipur,4334,5.0,Jaipur
Chitra Katha A Story Per Stay,1663,4.5,Jaipur
The Fern An Ecotel Hotel Jaipur,4561,4.5,Jaipur
ibis Jaipur Civil Lines,5039,4.5,Jaipur
Hotel Rajasthan Palace Jaipur,5580,4.5,Jaipur
The Lalit Jaipur,8258,4.5,Jaipur
Palm,6191,5.0,Jaipur
Jaipur Marriott Hotel,8850,4.5,Jaipur
Regenta Central Jaipur,3057,5.0,Jaipur
Sarovar Portico Jaipur,3484,4.5,Jaipur
Leisure Inn Grand Chanakya,2929,4.5,Jaipur
Vesta International,3063,4.0,Jaipur
Ginger Jaipur,3695,4.5,Jaipur
Hilton Jaipur,11800,4.5,Jaipur
Nirwana Hometel Jaipur A Sarovar Hotel,3681,4.5,Jaipur
Ramada By Wyndham Jaipur North,5363,4.0,Jaipur
Chokhi Dhani Resort,9439,4.0,Jaipur
Radisson Blu Hotel Jaipur,10194,4.5,Jaipur
Rani Mahal A Heritage Hotel,1232,4.5,Jaipur
Park Prime Jaipur,2791,4.0,Jaipur
Four Points by Sheraton Jaipur City Square,11236,4.5,Jaipur
Red Fox Hotel Jaipur,4758,4.5,Jaipur
Lemon Tree Premier Jaipur,15609,4.5,Jaipur
Krishna Palace,1691,4.0,Jaipur
Umaid Haveli Hotel and Resorts,10030,4.5,Jaipur
Fort Chandragupt,5788,3.0,Jaipur
Hotel Jaipur Central,4018,4.0,Jaipur
Ramada Plaza by Wyndham JHV Varanasi Cantonment,15624,4.0,Varanasi
Stay Banaras,5095,5.0,Varanasi
Ramada Plaza by Wyndham JHV Varanasi Cantonment,14397,4.0,Varanasi
Hotel Tridev,4173,4.5,Varanasi
BrijRama Palace,47789,5.0,Varanasi
Taj Ganges Varanasi,17110,4.5,Varanasi
BrijRama Palace,47789,5.0,Varanasi
Hotel Temple on Ganges,5321,4.0,Varanasi
Ganpati Guest House,3646,4.5,Varanasi
Hotel Dolphin International,5750,4.5,Varanasi
Hotel Buddha,6160,4.0,Varanasi
Hotel Banaras Haveli,4094,4.0,Varanasi
Taj Ganges Varanasi,17110,4.5,Varanasi
Om Vilas Benares,5672,5.0,Varanasi
The Amayaa,11079,3.5,Varanasi
Hotel Varanasi Inn,3123,4.5,Varanasi
HosteLaVie Varanasi,2274,4.5,Varanasi
Hotel Madin,10265,4.0,Varanasi
Hotel Banaras Haveli,4094,4.0,Varanasi
Hotel Rivera Palace,2514,4.5,Varanasi
Hotel Sita,8454,4.0,Varanasi
HHI Varanasi,6224,3.0,Varanasi
Dwivedi Hotels Sri Omkar Palace,7182,4.5,Varanasi
The India Benares,5824,4.0,Varanasi
The Amayaa,12202,3.5,Varanasi
Hotel Ganges Grand,6435,4.0,Varanasi
Moustache Hostel Varanasi,1105,4.5,Varanasi
Hotel Aadesh Palace,3920,4.5,Varanasi
Le Lotus Grand,3220,4.5,Varanasi
Diamond Hotel,8120,4.0,Varanasi
