H_name,H_price,H_rating,location,R_name,R_rating
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,The Nawaabs,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Taj Bano,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Good Vibes Cafe,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Peshawri,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Tease Me,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Cafe G,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,DaawateNawab,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Treat Restaurant,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Taj Terrace,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Joneys Place,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,The Salt Cafe Kitchen Bar,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,The Global Savour Restaurant,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Bambino Cafe And Restaurant,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,DDelicia,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Login Restaurant Roof Top Cafe,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Bamboo Cafe,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Bob Marley Cafe Restaurant,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Sheroes Hangout Cafe,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,MoMo Cafe,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Masala Bistro,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Golden Street Restaurant,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,In dish,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Cest Chine,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Dostea Cafe,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Yes Restaurant,5.0
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Green Park Restaurant,4.5
ITC Mughal a Luxury Collection Resort Spa Agra,28910,4.5,Agra,Bon Barbecue Restaurant,4.5
