name,rating,location
The Nawaabs,5.0 of 5 bubbles,Agra
1. Taj Bano,4.5 of 5 bubbles,Agra
2. Good Vibes Cafe,5.0 of 5 bubbles,Agra
3. Peshawri,4.5 of 5 bubbles,Agra
4. Tea'se Me,5.0 of 5 bubbles,Agra
5. Cafe' G,5.0 of 5 bubbles,Agra
6. Daawat-e-Nawab,5.0 of 5 bubbles,Agra
7. Treat Restaurant,5.0 of 5 bubbles,Agra
8. Taj Terrace,5.0 of 5 bubbles,Agra
9. Joney's Place,4.5 of 5 bubbles,Agra
10. The Salt Cafe Kitchen & Bar,5.0 of 5 bubbles,Agra
11. The Global Savour Restaurant,5.0 of 5 bubbles,Agra
12. Bambino Cafe And Restaurant,5.0 of 5 bubbles,Agra
13. D'Delicia,5.0 of 5 bubbles,Agra
14. Login Restaurant & Roof Top Cafe,5.0 of 5 bubbles,Agra
15. Bamboo Cafe,4.5 of 5 bubbles,Agra
16. Bob Marley Cafe & Restaurant,4.5 of 5 bubbles,Agra
17. Sheroes Hangout Cafe,4.5 of 5 bubbles,Agra
18. MoMo Cafe,4.5 of 5 bubbles,Agra
19. Masala Bistro,5.0 of 5 bubbles,Agra
20. Golden Street Restaurant,4.5 of 5 bubbles,Agra
21. In dish,5.0 of 5 bubbles,Agra
22. C'est Chine,4.5 of 5 bubbles,Agra
23. Dostea Cafe,5.0 of 5 bubbles,Agra
24. Yes Restaurant,5.0 of 5 bubbles,Agra
25. Green Park Restaurant,4.5 of 5 bubbles,Agra
26. Bon Barbecue Restaurant,4.5 of 5 bubbles,Agra
27. Sugar n Thyme,5.0 of 5 bubbles,Agra
28. Desi Cafe Agra,5.0 of 5 bubbles,Agra
29. Pind Balluchi,4.5 of 5 bubbles,Agra
30. Shankara Vegis Restaurant,4.5 of 5 bubbles,Agra
1. EAST-EAST ASIAN SPICE TRAIL,5.0 of 5 bubbles,Mumbai
2. Namak,5.0 of 5 bubbles,Mumbai
3. Mabruk,5.0 of 5 bubbles,Mumbai
4. Saptami,5.0 of 5 bubbles,Mumbai
5. Rasoi Kitchen & Bar,5.0 of 5 bubbles,Mumbai
6. Ummrao,5.0 of 5 bubbles,Mumbai
7. Kebabs & Kurries,5.0 of 5 bubbles,Mumbai
8. The Earth Plate,5.0 of 5 bubbles,Mumbai
9. Tanatan,5.0 of 5 bubbles,Mumbai
10. Peshawri,4.5 of 5 bubbles,Mumbai
11. Yeda Republic,5.0 of 5 bubbles,Mumbai
12. Ark Bar,5.0 of 5 bubbles,Mumbai
13. Shanghai Club,5.0 of 5 bubbles,Mumbai
14. Dakshin Coastal,4.5 of 5 bubbles,Mumbai
15. Manuhaar- The Taste of Tradition,5.0 of 5 bubbles,Mumbai
16. By the Mekong,4.5 of 5 bubbles,Mumbai
17. Nawab Saheb,5.0 of 5 bubbles,Mumbai
18. Gallery Cafe,5.0 of 5 bubbles,Mumbai
19. Hornby's Pavilion,5.0 of 5 bubbles,Mumbai
20. Fiona,5.0 of 5 bubbles,Mumbai
21. Citrus Cafe,5.0 of 5 bubbles,Mumbai
22. Peshwa Pavilion,5.0 of 5 bubbles,Mumbai
23. Tanatan,5.0 of 5 bubbles,Mumbai
24. Lake View Cafe,4.5 of 5 bubbles,Mumbai
25. The Sahib Room & Kipling Bar,4.5 of 5 bubbles,Mumbai
26. Pan Asian,5.0 of 5 bubbles,Mumbai
27. MoMo Cafe,4.5 of 5 bubbles,Mumbai
28. It's Mirchi,4.5 of 5 bubbles,Mumbai
29. Shamiana,4.5 of 5 bubbles,Mumbai
30. Mostly Grills,4.5 of 5 bubbles,Mumbai
1. Socorro,5.0 of 5 bubbles,Jaipur
2. Suvarna Mahal,5.0 of 5 bubbles,Jaipur
3. Monarch Restaurant,5.0 of 5 bubbles,Jaipur
4. House of Han,5.0 of 5 bubbles,Jaipur
5. Market Place,5.0 of 5 bubbles,Jaipur
6. Road House Bar and Grill,5.0 of 5 bubbles,Jaipur
7. The Rajput Room,5.0 of 5 bubbles,Jaipur
8. Steam,5.0 of 5 bubbles,Jaipur
9. The Royal Root,5.0 of 5 bubbles,Jaipur
10. The Verandah,5.0 of 5 bubbles,Jaipur
11. Cinnamon,5.0 of 5 bubbles,Jaipur
12. Dragon House,5.0 of 5 bubbles,Jaipur
13. Govindam Retreat,5.0 of 5 bubbles,Jaipur
14. Mosaic,5.0 of 5 bubbles,Jaipur
15. Hotel Sweet Dream Restaurant,5.0 of 5 bubbles,Jaipur
16. Marble Arch,5.0 of 5 bubbles,Jaipur
17. Giardino,5.0 of 5 bubbles,Jaipur
18. Mohan Mahal,5.0 of 5 bubbles,Jaipur
19. Topaz Restaurant - FineDine & SkyDeck (Candle Light),5.0 of 5 bubbles,Jaipur
20. Peshawri,4.5 of 5 bubbles,Jaipur
21. Tea House,5.0 of 5 bubbles,Jaipur
22. Indian Curry Palace,5.0 of 5 bubbles,Jaipur
23. Polo Bar,5.0 of 5 bubbles,Jaipur
"24. Karma Kasuri at Karma Haveli, Jaipur",5.0 of 5 bubbles,Jaipur
25. Sheesh Mahal Bar,5.0 of 5 bubbles,Jaipur
26. Hi-LiFE The Rooftop Grill,5.0 of 5 bubbles,Jaipur
27. Dagla - The Rooftop,5.0 of 5 bubbles,Jaipur
28. Daniel's Oriental Kitchen,5.0 of 5 bubbles,Jaipur
29. Rustic by OTH,5.0 of 5 bubbles,Jaipur
30. Hawk View Restaurant & Bar,5.0 of 5 bubbles,Jaipur
1. Aadha-Aadha Cafe,5.0 of 5 bubbles,Varanasi
2. Bowl of Compassion,5.0 of 5 bubbles,Varanasi
3. Sushi Cafe & Continental Restaurant,5.0 of 5 bubbles,Varanasi
4. Tadka at Ramada Plaza,5.0 of 5 bubbles,Varanasi
5. Vishnu Tea Emporium,5.0 of 5 bubbles,Varanasi
"6. The Palate at Ramada Plaza JHV, Cantonment",5.0 of 5 bubbles,Varanasi
7. Niyati Cafe,4.5 of 5 bubbles,Varanasi
8. Ashish Cafe,4.5 of 5 bubbles,Varanasi
9. Aum Cafe,4.5 of 5 bubbles,Varanasi
10. Dosa Cafe,4.5 of 5 bubbles,Varanasi
11. 1916 Cafe & Restaurant,5.0 of 5 bubbles,Varanasi
12. Shree Shivay Thali Dining Varanasi,4.5 of 5 bubbles,Varanasi
13. Spicy Bites,4.5 of 5 bubbles,Varanasi
14. Kashi Chat Bhandar,4.5 of 5 bubbles,Varanasi
15. Canton Royale Restaurant,4.5 of 5 bubbles,Varanasi
16. Shree cafe Vegatarian Restaurant,4.5 of 5 bubbles,Varanasi
17. Phulwari Restaurant and Sami Cafe,4.5 of 5 bubbles,Varanasi
18. Jyoti Cafe,4.5 of 5 bubbles,Varanasi
19. Itihaas Alley Kitchen,4.5 of 5 bubbles,Varanasi
20. El Parador,4.5 of 5 bubbles,Varanasi
21. Behind Yellow Doors Diner,5.0 of 5 bubbles,Varanasi
22. Kerala Cafe,4.5 of 5 bubbles,Varanasi
23. Pizzeria Vaatika Cafe,4.0 of 5 bubbles,Varanasi
24. Roma's Cafe Diner,4.5 of 5 bubbles,Varanasi
25. Mona Lisa Cafe,4.5 of 5 bubbles,Varanasi
26. Sparrow Cafe,4.5 of 5 bubbles,Varanasi
27. Nice Restaurant,5.0 of 5 bubbles,Varanasi
28. Brown Bread Bakery,4.0 of 5 bubbles,Varanasi
29. India Family Restaurant,4.5 of 5 bubbles,Varanasi
30. Varanasi Cafe Bakery & Restaurant,5.0 of 5 bubbles,Varanasi
Cafe 1986,4.0 of 5 bubbles,Manali
1. Southern Souls Cafe (PURE VEG),5.0 of 5 bubbles,Manali
2. The Pahadi,5.0 of 5 bubbles,Manali
3. Il Forno,4.5 of 5 bubbles,Manali
4. Ride Inn Cafe,5.0 of 5 bubbles,Manali
5. Johnson Bar & Restaurant,4.5 of 5 bubbles,Manali
6. The Corner House Restaurant and Bar,4.5 of 5 bubbles,Manali
7. The Johnson's Cafe,4.0 of 5 bubbles,Manali
8. Renaissance,5.0 of 5 bubbles,Manali
9. Cafe 1947,4.5 of 5 bubbles,Manali
10. Casa Bella Vista,4.5 of 5 bubbles,Manali
11. Drifters' Cafe,4.5 of 5 bubbles,Manali
12. Chopsticks,4.0 of 5 bubbles,Manali
13. The Lazy Dog,4.0 of 5 bubbles,Manali
14. Johnny's Pizza,5.0 of 5 bubbles,Manali
15. Pizza Olive,4.5 of 5 bubbles,Manali
16. Dylan's Toasted & Roasted Coffee House,4.5 of 5 bubbles,Manali
