R_name,R_rating,location
The Nawaabs,5.0,Agra
Taj Bano,4.5,Agra
Good Vibes Cafe,5.0,Agra
Peshawri,4.5,Agra
Tease Me,5.0,Agra
Cafe G,5.0,Agra
DaawateNawab,5.0,Agra
Treat Restaurant,5.0,Agra
Taj Terrace,5.0,Agra
Joneys Place,4.5,Agra
The Salt Cafe Kitchen Bar,5.0,Agra
The Global Savour Restaurant,5.0,Agra
Bambino Cafe And Restaurant,5.0,Agra
DDelicia,5.0,Agra
Login Restaurant Roof Top Cafe,5.0,Agra
Bamboo Cafe,4.5,Agra
Bob Marley Cafe Restaurant,4.5,Agra
Sheroes Hangout Cafe,4.5,Agra
MoMo Cafe,4.5,Agra
Masala Bistro,5.0,Agra
Golden Street Restaurant,4.5,Agra
In dish,5.0,Agra
Cest Chine,4.5,Agra
Dostea Cafe,5.0,Agra
Yes Restaurant,5.0,Agra
Green Park Restaurant,4.5,Agra
Bon Barbecue Restaurant,4.5,Agra
Sugar n Thyme,5.0,Agra
Desi Cafe Agra,5.0,Agra
Pind Balluchi,4.5,Agra
Shankara Vegis Restaurant,4.5,Agra
EASTEAST ASIAN SPICE TRAIL,5.0,Mumbai
Namak,5.0,Mumbai
Mabruk,5.0,Mumbai
Saptami,5.0,Mumbai
Rasoi Kitchen Bar,5.0,Mumbai
Ummrao,5.0,Mumbai
Kebabs Kurries,5.0,Mumbai
The Earth Plate,5.0,Mumbai
Tanatan,5.0,Mumbai
Peshawri,4.5,Mumbai
Yeda Republic,5.0,Mumbai
Ark Bar,5.0,Mumbai
Shanghai Club,5.0,Mumbai
Dakshin Coastal,4.5,Mumbai
Manuhaar The Taste of Tradition,5.0,Mumbai
By the Mekong,4.5,Mumbai
Nawab Saheb,5.0,Mumbai
Gallery Cafe,5.0,Mumbai
Hornbys Pavilion,5.0,Mumbai
Fiona,5.0,Mumbai
Citrus Cafe,5.0,Mumbai
Peshwa Pavilion,5.0,Mumbai
Tanatan,5.0,Mumbai
Lake View Cafe,4.5,Mumbai
The Sahib Room Kipling Bar,4.5,Mumbai
Pan Asian,5.0,Mumbai
MoMo Cafe,4.5,Mumbai
Its Mirchi,4.5,Mumbai
Shamiana,4.5,Mumbai
Mostly Grills,4.5,Mumbai
Socorro,5.0,Jaipur
Suvarna Mahal,5.0,Jaipur
Monarch Restaurant,5.0,Jaipur
House of Han,5.0,Jaipur
Market Place,5.0,Jaipur
Road House Bar and Grill,5.0,Jaipur
The Rajput Room,5.0,Jaipur
Steam,5.0,Jaipur
The Royal Root,5.0,Jaipur
The Verandah,5.0,Jaipur
Cinnamon,5.0,Jaipur
Dragon House,5.0,Jaipur
Govindam Retreat,5.0,Jaipur
Mosaic,5.0,Jaipur
Hotel Sweet Dream Restaurant,5.0,Jaipur
Marble Arch,5.0,Jaipur
Giardino,5.0,Jaipur
Mohan Mahal,5.0,Jaipur
Topaz Restaurant FineDine SkyDeck Candle Light,5.0,Jaipur
Peshawri,4.5,Jaipur
Tea House,5.0,Jaipur
Indian Curry Palace,5.0,Jaipur
Polo Bar,5.0,Jaipur
Karma Kasuri at Karma Haveli Jaipur,5.0,Jaipur
Sheesh Mahal Bar,5.0,Jaipur
HiLiFE The Rooftop Grill,5.0,Jaipur
Dagla The Rooftop,5.0,Jaipur
Daniels Oriental Kitchen,5.0,Jaipur
Rustic by OTH,5.0,Jaipur
Hawk View Restaurant Bar,5.0,Jaipur
AadhaAadha Cafe,5.0,Varanasi
Bowl of Compassion,5.0,Varanasi
Sushi Cafe Continental Restaurant,5.0,Varanasi
Tadka at Ramada Plaza,5.0,Varanasi
Vishnu Tea Emporium,5.0,Varanasi
The Palate at Ramada Plaza JHV Cantonment,5.0,Varanasi
Niyati Cafe,4.5,Varanasi
Ashish Cafe,4.5,Varanasi
Aum Cafe,4.5,Varanasi
Dosa Cafe,4.5,Varanasi
Cafe Restaurant,5.0,Varanasi
Shree Shivay Thali Dining Varanasi,4.5,Varanasi
Spicy Bites,4.5,Varanasi
Kashi Chat Bhandar,4.5,Varanasi
Canton Royale Restaurant,4.5,Varanasi
Shree cafe Vegatarian Restaurant,4.5,Varanasi
Phulwari Restaurant and Sami Cafe,4.5,Varanasi
Jyoti Cafe,4.5,Varanasi
Itihaas Alley Kitchen,4.5,Varanasi
El Parador,4.5,Varanasi
Behind Yellow Doors Diner,5.0,Varanasi
Kerala Cafe,4.5,Varanasi
Pizzeria Vaatika Cafe,4.0,Varanasi
Romas Cafe Diner,4.5,Varanasi
Mona Lisa Cafe,4.5,Varanasi
Sparrow Cafe,4.5,Varanasi
Nice Restaurant,5.0,Varanasi
Brown Bread Bakery,4.0,Varanasi
India Family Restaurant,4.5,Varanasi
Varanasi Cafe Bakery Restaurant,5.0,Varanasi
Cafe,4.0,Manali
Southern Souls Cafe PURE VEG,5.0,Manali
The Pahadi,5.0,Manali
Il Forno,4.5,Manali
Ride Inn Cafe,5.0,Manali
Johnson Bar Restaurant,4.5,Manali
The Corner House Restaurant and Bar,4.5,Manali
The Johnsons Cafe,4.0,Manali
Renaissance,5.0,Manali
Cafe,4.5,Manali
Casa Bella Vista,4.5,Manali
Drifters Cafe,4.5,Manali
Chopsticks,4.0,Manali
The Lazy Dog,4.0,Manali
Johnnys Pizza,5.0,Manali
Pizza Olive,4.5,Manali
Dylans Toasted Roasted Coffee House,4.5,Manali
Fat Plate Cafe,4.0,Manali
Cafe Amigos,4.5,Manali
Himalayan Organics juice bar and cafe,5.0,Manali
Moms Kitchen,4.5,Manali
Green Forest Cafe,4.5,Manali
Cafe Evergreen Manali,4.5,Manali
Vibes himachali cuisine,4.5,Manali
Honey Hut Manali,4.0,Manali
Sunshine Cafe,4.5,Manali
Saba,4.0,Manali
Tasty Bite,5.0,Manali
Mount View Restaurant,4.0,Manali
Cafe Live,5.0,Manali
Whispering Valley Resort,5.0,Manali
Mosaic,5.0,New Delhi
Edesia Crowne Plaza Today New Delhi Okhla,5.0,New Delhi
Adrift Kaya New Delhi,5.0,New Delhi
Raajsik,5.0,New Delhi
Spice Art,5.0,New Delhi
Thyme,5.0,New Delhi
Tamra,5.0,New Delhi
Kiyan The Roseate,5.0,New Delhi
Spring,5.0,New Delhi
Viva All Day Dining,5.0,New Delhi
Infinity,5.0,New Delhi
Syrah,5.0,New Delhi
Juniper Bar,5.0,New Delhi
Cafe,5.0,New Delhi
TKs Oriental Grill,4.5,New Delhi
Dilli,5.0,New Delhi
NYC Radisson Blu Plaza Delhi,5.0,New Delhi
The Hangar Lounge Bar,5.0,New Delhi
Kheer at Roseate House,5.0,New Delhi
T Lounge,5.0,New Delhi
AnnaMaya,5.0,New Delhi
K,5.0,New Delhi
Shang Palace,5.0,New Delhi
La Piazza,4.5,New Delhi
Dakshin,4.5,New Delhi
LOsteria Bella,4.5,New Delhi
The Great Kabab Factory,4.5,New Delhi
Delhi Pavilion,5.0,New Delhi
JW Lounge,5.0,New Delhi
Chaobella,5.0,New Delhi
The Salt House,4.0,Kolkata
Avartana,5.0,Kolkata
Ottimo Cucina Italiana,5.0,Kolkata
Grand Market Pavilion,5.0,Kolkata
Darjeeling Lounge,5.0,Kolkata
Vertex The Liquid Restaurant,5.0,Kolkata
Royal Vega,5.0,Kolkata
Social Kitchen,5.0,Kolkata
Vintage Asia,5.0,Kolkata
Seasonal Tastes,5.0,Kolkata
Pan Asian,4.5,Kolkata
Dum Pukht,4.5,Kolkata
Eden Pavilion,4.5,Kolkata
Peshawri,4.5,Kolkata
First Innings Multicuisine Restaurant,4.5,Kolkata
Baan Thai,4.5,Kolkata
Kava,5.0,Kolkata
Barbeque Nation Salt Lake Sec,4.5,Kolkata
JW Kitchen,4.5,Kolkata
La Cucina,4.5,Kolkata
BarBQ,4.5,Kolkata
Oh Calcutta,4.5,Kolkata
The Saffron Tree,5.0,Kolkata
Oasis Restaurant,4.5,Kolkata
Aromas,4.5,Kolkata
Spice Kraft,4.5,Kolkata
Ballygunge Place,4.5,Kolkata
Mainland China,4.0,Kolkata
Arsalan,4.0,Kolkata
Mocambo,4.0,Kolkata
,5.0,Kolkata
Shabu Shabu San Bettei Hanare,5.0,Chennai
The Reef,5.0,Chennai
C Salt,5.0,Chennai
Avartana,5.0,Chennai
Willows Lounge Bar,5.0,Chennai
Winchester Bar,5.0,Chennai
Seasonal Tastes,4.5,Chennai
The Great Kabab Factory,5.0,Chennai
Cafe G,4.5,Chennai
Paprika Cafe,5.0,Chennai
Sunset Grill,5.0,Chennai
The Cheroot Malt Cigar Lounge,4.5,Chennai
The Residency,4.5,Chennai
Cappuccino,4.5,Chennai
Oasis Radisson Blu Hotel Chennai City Centre,4.5,Chennai
Peshawri,5.0,Chennai
Royal Vega,4.5,Chennai
Madras Pavilion,4.5,Chennai
Dakshin,5.0,Chennai
Pan Asian,4.5,Chennai
Cafe Mercara Express,4.5,Chennai
Ottimo Cucina Italiana,4.5,Chennai
Broken Bridge Cafe Indian Restaurant by Radioroom,4.5,Chennai
Southern Spice,4.5,Chennai
The Flying Elephant,4.5,Chennai
Rhapsody,5.0,Chennai
MKC Madras Kitchen Company,4.5,Chennai
The Marina,4.5,Chennai
Annalakshmi Restaurant,4.5,Chennai
Up North,4.5,Chennai
Shabu Shabu San Bettei Hanare,5.0,Chennai
The Reef,5.0,Chennai
C Salt,5.0,Chennai
Avartana,5.0,Chennai
Willows Lounge Bar,5.0,Chennai
Winchester Bar,5.0,Chennai
Seasonal Tastes,4.5,Chennai
The Great Kabab Factory,5.0,Chennai
Cafe G,4.5,Chennai
Paprika Cafe,5.0,Chennai
Sunset Grill,5.0,Chennai
The Cheroot Malt Cigar Lounge,4.5,Chennai
The Residency,4.5,Chennai
Cappuccino,4.5,Chennai
Oasis Radisson Blu Hotel Chennai City Centre,4.5,Chennai
Peshawri,5.0,Chennai
